Name_ENG;Name_AR;CR;Category;Website;Instagram;Twitter;Email;Phone Number;Activity;Rating;Num_Ratings
Unique101 boutique;متجر يونيك101;;تسويق إلكتروني;https://unique-101.com;;;S4lo7@hotmail.com;502772911;Active;0;0
shooping store;شوبينق ستور;;أخرى;https://joud-es.com;;;joud-es@hotmail.com;549930575;Active;0;0
Omar Mohammed AlAttas Factory;مصنع عمر محمد العطاس;4030142125;تسويق إلكتروني;https://www.alattasouq.sa;;;aldiafahome@windowslive.com;552422808;Active;0;0
Magical Pens Agency;وكالة الأقلام الساحرة;1010336826;أثاث وديكور;https://magical-pens.com/;;;magicalpens11@gmail.com;558889030;Active;0;0
Boraq Telecom;براق للاتصالات;1131170272;أخرى;https://boraq.sa/;;;store@boraq.sa;530333218;Active;0;0
P9mh;بصمة ستور اجهزة;;إلكترونيات واكسسورات;https://salla.sa/store_b9mh/;;;P9mh13@gmail.com;549491646;Active;0;0
Pure Land Store;متجر بيور لاند;;الحرف والصناعات اليدوية;https://purelandstore.com/;https://www.instagram.com/pureland.store/;;purelandstore1@gmail.com;539127175;Active;0;0
ALFAHDI STOREE;متجر االفهدي;;تسويق إلكتروني;https://t.me/ALFHDi_STORE;;;afahdi@hotmail.com;580633476;Active;9.1;17
Lightings Store;متجر إضاءات;4030422672;أثاث وديكور;https://lightingsstore.com;https://instagram.com/lightings_store;;lightingsstore@gmail.com;544559736;Active;0;0
cake maker shop;متجر صانعة الكيك ;;مطبخ و مخبوزات;https://salla.sa/sanaahkik/;https://instagram.com/s_cake3;;soofia556@gmail.com;541059389;Active;0;0
Once upon a child ;ذات طفل ;;أخرى;https://salla.sa/once.child;;;lamaalkharashi@gmail.com;505546218;Active;0;0
Power system 0;مؤسسة نظام القوة للالات والمعدات ;2050144583;أخرى;http://www.powersystem.sa/;;;bader_alroqi0@hotmail.com;538800337;Active;0;0
Remote electronic solutions for owners of institut;حلول اكترونية عن بعد لاصحاب المؤسسات والشركات;;حلول إلكترونية;https://maroof.sa;;;aad1413@hotmail.com;552844700;Active;0;0
;متجر تيفان السعودية;;تسويق إلكتروني;https://tevanstore.com/;;;tevanstoree@gmail.com;553810460;Active;0;0
Fakhera;فاخرة;;أثاث وديكور;https://salla.sa/fakherah/;;;Info.fakherah@gmail.com;592946069;Active;0;0
viestore;متجرالحياه;2031105939;إلكترونيات واكسسورات;https://www.viestoreksa.com;;;viestore.sa@gmail.com;536325581;Active;0;0
JaydaaCS;جييداء للعبايات;4031251435;مستلزمات المرأة;http://jaydaacs.com/;;https://twitter.com/jaydaacs_;Najwa1999.kk@gmail.com;501863795;Active;0;0
AB  I Store;متجر أي بي;;أخرى;https://abstore0.com/;https://instagram.com/403_;;403done@gmail.com;560673910;Active;10;1
LW LUXURY ;ليكسري;;أخرى;https://mapp.sa/parisshopping;;;natqalmuhaya@gmail.com;533570018;Active;0;0
Almazrui Dates;تمور المزروعي;4030182032;أخرى;https://almazruidates.com/;https://instagram.com/almazruidates;https://twitter.com/almazruidates;Almazruidates@gmail.com;553606069;Active;0;0
;سيررة ;;تصميم وطباعة;https://salla.sa/seiraa;;;seiiraa.sa@gmail.com;538850959;Active;0;0
Karam antiqa ;كرم انتيكا;;الحرف والصناعات اليدوية;https://salla.sa/karamantiqaantiqa;https://instagram.com/karamela70art;;kareemaali7056@gmail.com;502244898;Active;0;0
M7JStore;متجر ام سفن جي ;;أخرى;https://m7jstore.com/;https://instagram.com/m7jstore;https://twitter.com/M7JStore;mjeedmo182ja@gmail.com;581417203;Active;0;0
;فردوسي للعسل الملكي الفاخر;;تسويق إلكتروني;https://www.frdosi.com;;;nasseralashoor@gmail.com;566683395;Active;0;0
Gzl Store;متجر جزل;;أخرى;Https://Gzlstore.com;https://instagram.com/gzl.ar;;777.gamer7@gmail.com;501520594;Active;0;0
raownq;رونق للاضائة;;الحرف والصناعات اليدوية;https://salla.sa/raownq/;;;raownq@outlook.sa;595326280;Active;0;0
coffeemakersa;صانع القهوه;;أخرى;https://salla.sa/coffemakersa;https://instagram.com/coffee.maker.sa;;coffee.maker.sa@gmail.com;560281044;Active;0;0
Cosma care;كوزما كير;1010175709;كوافيرة و تجميل;Http://cosmacare.sa;https://instagram.com/cosma_care;https://twitter.com/cosma_care;Cosma_care@alkahwaji.sa;549030505;Active;0;0
easy travel;متجر السفر المريح;;أخرى;https://salla.sa/easy-travel;;;khaled3067@hotmail.com;531886677;Active;0;0
alnafl;النفل;;أخرى;https://alnafl.com/;https://instagram.com/alnafl_shop;https://twitter.com/ALNAFL_shop;info@alnafl.com;505716971;Active;0;0
AROA STORE;أروى ستور;;تصميم وطباعة;https://salla.sa/aroastore/;https://instagram.com/aroa_store;;aroaspace@gmail.com;561895872;Active;0;0
reecoffee;ري كوفي;;أخرى;https://zid.store/reecoffee/;https://instagram.com/ree__coffee;https://twitter.com/ree__coffee;ssffddvv@hotmail.com;555555555;Active;0;0
store alshaadhilia;متجر الشاذلية;;تسويق إلكتروني;https://salla.sa/alshaadhlih;https://instagram.com/alshaadhlih;https://twitter.com/alshaadhlih;alshaadhlih@hotmail.com;599690780;Active;0;0
;متجر فيف جي للاتصالات;4030353560;إلكترونيات واكسسورات;https://salla.sa/5g__store/;;;storeal.5gg@gmail.com;560592038;Active;0;0
little bird ;الطيور الصغيرة ;;أخرى;https://salla.sa/little_bird/;;;sara15akhder@gmail.com;507091331;Active;0;0
MAMA Solutions;ماما سلوشنز;;مستلزمات المرأة;https://mime-sa.myshopify.com/;https://instagram.com/mamasolutions.sa;;MamaSolutions@hotmail.com;500966091;Active;0;0
coach bushra;كوتش بشرى;;أخرى;https://coachbushraa.com/;https://instagram.com/coach_bushraa;;bushra20149@gmail.com;565441464;Active;0;0
;شـدات1;;أخرى;https://www.snapchat.com/add/cv28r;;;raid231@gmail.com;590043002;Active;0;0
David Kasab;ديفيد كساب;4032232402;تسويق إلكتروني;https://davidkasab.com/;https://instagram.com/davidkasab.sa;https://twitter.com/DavidKasab;info@davidkasab.com;565517817;Active;0;0
Baby fun;مرح الطفل;;الحرف والصناعات اليدوية;https://salla.sa/baby.fun;;;Amjadfahad928@gmail.com;503546750;Active;0;0
YARA JEWELLERY;يارا للمجوهرات;;مستلزمات المرأة;https://yarajewellery.com/;;;miss.yaya.111@gmail.com;557953891;Active;0;0
Ryu Store;متجر ريو;2050146980;أخرى;https://ryustore-sa.com/;;;fujisan.ksa@gmail.com;596613169;Active;0;0
Ammar Shoping;متجر عمار لبيع حسابات ببجي مبايل;;تسويق إلكتروني;https://t.me/kk3bot;;;am822ar@gmail.com;501616092;Active;2;3
Agd Ejar;مؤسسة عقد ايجار العقارية;4030422599;العقارات;https://agdejar.sa;;;info@agdejar.sa;564554552;Active;0;0
5stsrsoutlet;متجر خمسة نجوم;4031196840;تسويق إلكتروني;http://www.5starsoutlet.com;;;aloo0ool-2010@hotmail.com;551016613;Active;0;0
Shopping Around you;تغطيات وتسوق لكل ماحولك ;;تسويق إلكتروني;https://salla.sa/fastshose/;;;Malakaltamimi555@gmail.com;555060625;Active;0;0
fathkroni;فاذكروني;;أخرى;https://salla.sa/fathkroni_fw;;;jodealzhrani@gmail.com;557734883;Active;0;0
Smart Base for web solutions ;مؤسسة القاعدة الذكية  لحلول الويب ونظم المعلومات;4031227903;حلول إلكترونية;https://www.smartbase.sa;;;sb@smartbase.sa;590801412;Active;0;0
G3 STORE;متجر جي ثري;;تسويق إلكتروني;https://g3storee.com;;;g3storee@gmail.com;505598664;Active;0;0
khawd;متجر خود للشنط;;مستلزمات المرأة;https://rkohsp5088.expandcart.com/;;;badr0946@gmail.com;594241398;Active;0;0
Fashon Coordinate;تنسيق الأزياء ;2051224910;أخرى;https://maroof.sa/205338;;;Fashon.c.2030@gmail.com;551208834;Active;0;0
Saudi  Store;متجر  سعودي ;;حلول إلكترونية;https://salla.sa/saudi966.com;;;samisami582@gamil.com;538869446;Active;0;0
Tiendasaudi;تيندا السعودية;;إلكترونيات واكسسورات;https://www.tiendasaudi.com/;;;contact@tiendasaudi.com;563616396;Active;0;0
Riva Store;متجر ريفا;;إلكترونيات واكسسورات;https://salla.sa/rivastore;;;exp.ccnp@gmail.com;530003184;Active;0;0
Solaf alteeb;سلاف الطيب;;أخرى;https://solafalteeb.com/;;;Solafstore@gmail.com;542571499;Active;0;0
Three Colors Store;مؤسسة ثلاثة ألوان للتجارة;1010725008;مستلزمات المرأة;https://salla.sa/3colors/;https://instagram.com/store_3colors;https://twitter.com/store_3colors;3colorsstore@gmail.com;562789000;Active;0;0
Etqan L;إتقان اللغات;;خدمات أكاديمية;Https://salla.sa/etqan-course;;;Engl.tt101@gmail.com;503506012;Active;0;0
Real Estate Serves;أفكار العالمية للخدمات العقارية;4030328711;العقارات;http://girese.org;;;g.ideas@hotmail.com;508010977;Active;0;0
Floo5;فلو فايف ;4031243391;تسويق إلكتروني;https://50o0o.com/;;;n_3ter@hotmail.com;500010296;Active;0;0
Perfume and beauty;بيرفيوم أند بيوتي;;مستلزمات المرأة;https://beautyperfumee.com/;;;talal.abbas@outlook.com;502976804;Active;0;0
Asheil;اشعل;;أخرى;https://salla.sa/asheil;https://instagram.com/zi.34h;;alhumaid9984@gmail.com;565264297;Active;0;0
;  شعار لمنتج;;تصميم وطباعة;https://salla.sa/g.mservices;;;emoo665@hotmail.com;559185665;Active;0;0
AMStore;متجر اي ام;4030363782;إلكترونيات واكسسورات;http://www.am-store.net;;;speedaccess.sa@gmail.com;536898824;Active;0;0
Big Deal;الصفقة الكبرى;;تسويق إلكتروني;https://mapp.sa/bigdeal;;;Kh920k@gmail.com;599922550;Active;0;0
L'PATTO Fragrances;عطور إلباتو ;;أخرى;https://lpatto.com;;;lpattoperfumes@gmail.com;500048452;Active;0;0
store Ryu;ريو متجر;;أخرى;https://zid.store/reu;;;fujisan.ksa@gmail.com;596613169;Not Active;0;0
NEOM STORE;متجر نيوم الالكتروني;;إلكترونيات واكسسورات;https://neom-store.com/;https://instagram.com/neomstore_;;mubarkalotaibi@gmail.com;578627813;Active;0;0
Rwaan store;متجر روان لبيع حسابات ببجي;;تسويق إلكتروني;https://t.me/pubg_rwa;;;Rwaan.30s@gmail.com;591649157;Active;7.3;3
;عالم البذور الغريبة;;أخرى;https://www.qatfx.com;;;nasseralashoor@gmail.com;566683395;Active;10;1
ALMOHARER STORE;متجر ركن المحرر;1131314011;تصميم وطباعة;https://almoharer.store/;;;saadsamhan@hotmail.com;532510666;Active;0;0
Trimasah;ثلاثية ماسة;2051222786;أخرى;https://trimasah.com;;;info@trimasah.com;570502181;Active;0;0
Dar Emtnan Est;مؤسسة دار امتنان ;2062618536;مستلزمات المرأة;https://daremtnan.com/;https://instagram.com/dar_emtnan;;Daremtnan@gmail.com;542817123;Active;0;0
Mila Gifts  Distributions;ميلا للهدايا والتوزيعات ;;تخطيط مناسبات وحفلات;https://salla.sa/mila.gifts;;;abdullahhm88@hotmail.com;548226228;Active;0;0
Crow shop;متجر كرو;;حلول إلكترونية;https://salla.sa/e.1;;;e.netlix1@gmail.com;560381813;Active;0;0
THAMEEN JEWELERY;مجوهرات ثمين;1010722191;أخرى;https://thameenjew.com;;;Thameenjw@gmail.com;593654684;Active;0;0
VAPECLOUD;غيم فيب;;أخرى;https://zid.store/jedvape;;;uwais6827@hotmail.com;563293943;Active;0;0
wow new;متجر واو نيو;4032247674;تسويق إلكتروني;https://www.wow-new.com;;;sales@wow-new.com;595989494;Active;0;0
BTAQAT UC 1;متجر شدات الببجي ;;تسويق إلكتروني;https://btaqatuc.com/;;https://twitter.com/btaqatuc;m16a700@gmail.com;501887281;Active;0;0
Altarf6789;متجر الترف الكتروني  ;;تسويق إلكتروني;http://al-tarf.com/;;;Mnbvmm888888@gmail.com;550177949;Active;0;0
;خدماتك في بيتك;;حلول إلكترونية;https://xqcevi7295.expandcart.com/;;;aly280005@gmail.com;552589511;Active;9;1
Nilufer7store ;نيلوفر7;;تسويق إلكتروني;https://salla.sa/nilufer.7/;https://instagram.com/nilufer7store;;Nilufer7.store@gmail.com;542898126;Active;0;0
ICE CREEM LONDON;ايسكريم لندن;;تخطيط مناسبات وحفلات;https://iwtsp.com/966536739151;https://instagram.com/yummy1010_;;dohaim00@gmail.com;536739151;Active;0;0
7mile;الميل السابع    ;;أخرى;https://7milefashion.com;;;Sa.7mile@hotmile.com;503933644;Active;0;0
;متجر القوز للرحلات;;أخرى;https://alqoz.com;https://instagram.com/alquooz;;alquoooz@gmail.com;565820276;Active;0;0
;مطاعم ركن الشواية المقمرة ;4031252049;مطبخ و مخبوزات;https://maroof.sa/205266;;;mhana199991@hotmail.com;567199991;Active;0;0
;متجر الذوق الفخم;;أخرى;https://www.aldoqalfkhm.com;;;aldoq_alfkhm@hotmail.com;580404561;Active;0;0
jumia store for pubg mobile game;جوميا ستور المتخصصة في لعبة ببجي موبايل;;أخرى;https://t.me/jumiastore21;;;alsultanforex@gmail.com;551392179;Active;0;0
Sokari Alothman;سكري العثمان;1010478904;أخرى;https://salla.sa/tomranalothman/;https://instagram.com/tomranalothman;https://twitter.com/TomranAlothman;tomranalothman@gmail.com;500004226;Active;0;0
Fashi0npoint;متجر فاشن بوينت ;2053112469;مستلزمات المرأة;https://fashi0npoint.com/;https://instagram.com/fashi0npoint2;;Ibrahim_h_kh@hotmail.com;542215750;Not Active;0;0
 ASBAR STORE;متجر اسبار;;كوافيرة و تجميل;https://asbar-store.com/;;;asbar.st@gmail.com;561106655;Active;0;0
Swarz;سوارز;;الحرف والصناعات اليدوية;https://salla.sa/swarz;;;swarz1store@gmail.com;543958954;Active;0;0
DAN word of beauty;دان عالم الجمال ;1010640027;تسويق إلكتروني;https://dan4.shop;;;asdaf987654@gmail.com;503447765;Active;0;0
Purpela;بوربيلا;;مستلزمات المرأة;https://salla.sa/purpelaglove;;;Purpelag@gmail.com;500000000;Active;0;0
bandar majjad mota'ad almutairi;بندر بن مجاد معتاد المطيري;;تسويق إلكتروني;https://bahr.910ths.sa/freelancers/akwas-bandar;;;rt0sh2030@gmail.com;503768665;Active;0;0
Gwaaher Store best;متجر جواهر اعلانات و بيع حسابات البيجي;;تسويق إلكتروني;https://t.me/joinchat/KZsyHcYPmU1kNGQy;;;Gwaaher.store@gmail.com;590085896;Active;6.8;5
Klkthoq ;كلك  ذوق;;تصميم وطباعة;https://salla.sa/klkthoq/;;;intidab@hotmail.com;548170119;Active;0;0
Atheer store ;متجر اثير ;;تسويق إلكتروني;https://t.me/Atheerstore91;;;ellfend19@gmail.com;549191997;Active;0;0
newstoresa;متجر  نيو السعودي;4030422319;أخرى;https://anew-store.com;https://instagram.com/new_store_sa;https://twitter.com/new_store_sa;info@new-store.com;542392329;Active;0;0
Technical uniform;تقني للزي المهني;4030412181;أخرى;https://salla.sa/technical_uniform;https://instagram.com/technical_uniform;;Hemaah1406@gmail.com;507892271;Active;0;0
Cyber Pc;سايبر بي سي;;إلكترونيات واكسسورات;https://cyberpc1.com/;https://instagram.com/cyber_pc1;;cyber.pcsg1@gmail.com;557202782;Active;0;0
Aubin;مؤسسة أوبين التجارية;1131308846;تسويق إلكتروني;https://aubinsa.com/;;;aubinsa0q@gmail.com;559531856;Active;0;0
M2rya;منصة ماريا;4031252039;كوافيرة و تجميل;https://www.m2rya.com;;https://twitter.com/mnst_m2rya;Mnst.m2rya@gmail.com;546671520;Active;0;0
ALraid ALmutamayiz lileqarat;متجر الرائد المتميز للعقارات الإلكتروني;4032242095;العقارات;https://raidaleaqarat.business.site/?whatsapp;https://instagram.com/raidalaqarat;;raidalotibe@gmail.com;547337070;Not Active;0;0
lyreness;متجر ليورنيس;;تسويق إلكتروني;https://lyreness.com/;https://instagram.com/ly_reness;;lyreness@gmail.com;570035112;Active;0;0
First Store1 ;فرست ستور;;تسويق إلكتروني;https://t.me/pubg_first1;;;heyamal25@gmail.com;593631451;Active;10;5
Bploo Store ;ببلو ستور;4030405964;حلول إلكترونية;https://salla.sa/www.bploo.com;;;Info@bploo.com;504207144;Active;0;0
mughry;مغري;;أخرى;http://mughry.com;;;mughry@yahoo.com;591971621;Active;0;0
mohanad nasser;مهند ناصر;;حلول إلكترونية;https://mohanadnasserjz.com/;;;mnjsz43@gmail.com;557349250;Active;0;0
Store Rashed;متجر رآشد بن نوآف;;تسويق إلكتروني;https://t.me/innnnn;;;Ahmdjamra77@gmail.com;501173709;Not Active;2;3
Dubai Store;متجر دبي ;;تسويق إلكتروني;https://t.me/UAE_yy;;;abood_5600@icloud.com;549191997;Active;10;1
Stock and Sale Manager;مدير المخزون والمبيعات;;حلول إلكترونية;https://ssm.qozsoft.com/;;https://twitter.com/ssm_app1;ssm@qozsoft.com;506561974;Active;0;0
afkar alyom trading est;مؤسسة افكار اليوم التجارية;4030327052;أخرى;https://souqafkar.com;;;info@souqafkar.com;560016063;Active;0;0
The North Star;نجم الشمال;1010655852;أخرى;https://www.the-northstar.co;;;hello@the-northstar.co;502927691;Active;0;0
LOTAZ STORE;لوتازستور;;الحرف والصناعات اليدوية;https://lareen3d.com/;https://instagram.com/lotaz.store;;Lotaz.store@gmail.com;533501227;Active;0;0
Charmella;تشارميلا;;مستلزمات المرأة;https://charmellasa.com/;https://instagram.com/faisalwarehouse;;charmellasa@gmail.com;509623025;Active;0;0
Rekin;ريكن;;أثاث وديكور;https://salla.sa/rekin;;;RekinStore@gmail.com;552539105;Active;0;0
fatimahealiallaami;فاطمه علي اللامي;;تسويق إلكتروني;https://maroof.sa/addbusiness/AddBusinessWizard;;;Fatmaham614@gmail.com;504190765;Active;0;0
Mulfet Store;متجر ملفت;1010690979;إلكترونيات واكسسورات;https://mulfet.com/;https://instagram.com/mulfet_sa;;info@mulfet.com;590643922;Active;9.1;9
Gogii Food;قوقي فود;;أخرى;https://salla.sa/gogii_food/;https://instagram.com/gogiifood.sa;;Gogiifood@gmail.com;591300895;Active;0;0
Paume;بوم;;أخرى;https://salla.sa/paume.sa;;;Paume.braand@gmail.com;545311959;Active;0;0
careofhair;كير أوف هير ;;تسويق إلكتروني;https://chchksa.com/;;;c.service@agostonoble.com;502711142;Active;0;0
SoftTouch;مؤسسة توب تاون;4030373611;أثاث وديكور;https://www.toptown.com.sa/;;;toptown83@gmail.com;551313146;Active;0;0
Waleed alotaibi;وليد العتيبي ;;تسويق إلكتروني;https://t.me/pubg_lords;;;ootwaleed@gmail.com;531336116;Active;10;3
crochet  knitwear;كروشيه وتريكو;;الحرف والصناعات اليدوية;https://salla.sa/um-gomr/QdNzZR;https://www.instagram.com/p/CPYShGVH1jg/?utm_medium=copy_link;;ebtsam0101@gmail.com;564551164;Active;0;0
Be Thrilling ;بي ثيرلنغ;;مستلزمات المرأة;https://bethrilling.com/;;;Bethrillingstore@gmail.com;555995834;Active;0;0
Qarmsheyat Umm Yazan;قرمشيات أم يزن;4031219043;أخرى;https://nosa200961.com;;;garmsiat@gmail.com;506839502;Active;0;0
;مؤسسة المحدث للنشر والتوزيع;1010453907;تسويق إلكتروني;https://almohadith.com/;;;almohadth5@gmail.com;561354333;Active;0;0
MooM store ;مووم ستور;;أخرى;https://t.me/m14_24;;;mawq70@gmail.com;502608526;Active;0;0
Coral shop;كورل;;أخرى;https://salla.sa/coralshop;https://instagram.com/coralshop2021_;;Coralshop.2021@gmail.com;533282234;Active;0;0
Groze Store;متجر كروزا ;;أخرى;https://t.me/i9pi9;;;jaash75@gmail.com;509375368;Active;10;3
Abeer ST;متجر عبير اعلانات وبيع حسابات ببجي موبايل;;تسويق إلكتروني;https://t.me/joinchat/7AW4l_6cLks5OTNh;;;Abeerst33@gmail.com;571641634;Active;10;2
PUBG REM STORE;ستور ريم بيع حسابات وشحن شدات ببجي;;تسويق إلكتروني;https://t.me/rem_60;;;Rempubg@gmail.com;590085896;Active;6.8;5
 Gwaaher  store; جواهر ستور لبيع حسابات الببجي;;تسويق إلكتروني;https://t.me/joinchat/KZsyHcYPmU1kNGQy;;;Gwaaher@gmail.com;590085896;Active;8;4
Faabusiness;فاء بزنس;;أخرى;https://salla.sa/faabusiness/;;https://twitter.com/Faabusiness;Faabusiness@outlook.sa;537933440;Active;0;0
Alshaheen Store;متجر الشاهين ;2063606716;تسويق إلكتروني;https://alshaheen4994.com/;;;info@alshaheen4994.com;576300408;Active;0;0
Mustaffa store;متجر مصطفى بيع حسآبآت ببجي;;تسويق إلكتروني;https://t.me/joinchat/ENp2dJegYE0yYTMy;;;smo390bn@gmail.com;501611283;Not Active;2;2
Diar application for building materials;نطبيق ديار لمواد البناء;4030397397;تسويق إلكتروني;https://www.diar.com.sa;;;sales@diar.com.sa;566814258;Active;0;0
Colazion;كوليزيون;4030422074;أخرى;https://salla.sa/colazionr/;;;colazionr@gmail.com;544632333;Active;0;0
Mawthuq Digital Marketing;موثوق للتسويق الإلكتروني;4650231452;تسويق إلكتروني;http://www.mawthug.sa;;;info@mawthuq.sa;536003374;Active;0;0
BazaratSA;بازارات;;أخرى;https://bazaratsa.com/;;;bazaaroud@gmail.com;531242858;Active;0;0
Modern Year;العام الحديث;;حلول إلكترونية;https://my.sa;;;humayyani@gmail.com;598890802;Active;0;0
Nafaa Market;نافعة ماركت;;تسويق إلكتروني;https://jvqvwl7543.expandcart.com/;;;algadeer1409@gmail.com;597379936;Active;0;0
Fine Arts;مؤسسة الفن الجميل للتجارة;1010639213;تسويق إلكتروني;https://finearts-sa.com/;;;nasserbinshahran@gmail.com;559951416;Active;0;0
Design by 1991;تصاميم ١٩٩١;;أخرى;https://salla.sa/design.by1991;;;Design.by1991@gmail.com;562718966;Active;0;0
NAZ;ناز;;تسويق إلكتروني;https://ubbqau8358.expandcart.com/;;;lailaawaji@outlook.sa;548906094;Active;0;0
Marketing Advertising and Promotion;التسويق والتراويح والدعاية والاعلان;;أخرى;https://wa.me/c/966535955415;;;anfasturki@gmail.com;535955415;Active;0;0
bakhah;بخة للعطور;;تسويق إلكتروني;https://www.bakhah.com;;;bakhahbrand@hotmail.com;500637766;Active;0;0
Lavan Perfume;متجر لافان للعطور;4030394941;أخرى;https://lavansa.net/;https://instagram.com/lavanperfumesa;https://twitter.com/Lavanperfumesa;admin@lavansa.net;501971810;Active;10;1
TagMoi;تاغ موا;5950121389;إلكترونيات واكسسورات;https://tagmoi.co/;;;admin@tagmoi.co;559157613;Active;0;0
ARB CHAMPIONS ST;عرب تشامبيونز;;أخرى;https://arb-store.com/;;;Abdulmf@icloud.com;559778666;Active;0;0
million box;مليون بوكس;4650216987;أخرى;https://million-box.com/;https://instagram.com/million_box;;info@million-box.com;541518166;Active;0;0
Zord Station;محطة زورد;;أخرى;https://salla.sa/zord/;;;zordstation@hotmail.com;500629417;Active;0;0
Heba Abed Studio ;ستوديو هبة عابد;;تسويق إلكتروني;https://www.hebaabed.com;https://instagram.com/hebaabed_studio;;Heba.abdulaziz.a@gmail.com;504256025;Active;0;0
Snafer ice;صبعبلي السنافر;;أخرى;https://www.qalbstore.com;;;Ahmadalduhaim@gmail.com;545155199;Active;0;0
honey and health;عسل وصحه;1010950391;تسويق إلكتروني;https://maroof.sa/addbusiness/AddBusinessWizard;;;bandr.201212@icloud.com;559733571;Active;0;0
Pet Spa;بيت سبا;1010588985;أخرى;http://petspa.pet/;;;Munzer@alefah.com;561337118;Active;0;0
TanjeStore;تانجي ستور;;تسويق إلكتروني;https://tanjestore.com/;;;xmo990@hotmail.com;503662367;Active;0;0
Pubg soping;بيع حسابآت ببجي شحن شدآت;;تسويق إلكتروني;https://t.me/VF_X3;;;cdf13@gmail.com;552974265;Active;9;40
Vanilla cake;فانيلا كيك;;مطبخ و مخبوزات;https://iwtsp.com/966547323761;https://instagram.com/vanillla_cake01;;Mohalaithan555@gmail.com;569693339;Active;0;0
Abrella story;ابريلا ستوري;;تسويق إلكتروني;https://t.me/AbreStor;;https://twitter.com/ii8iie;ABRE3LA@hotmail.com;553569324;Active;10;8
Spubg accounts sale store;متجر لبيع حسابات بوبجي;;أخرى;https://t.me/joinchat/CrdQ2wOYtTw2NDQx;;;iii9900iii0000@gmail.com;591169305;Active;10;8
Ksks;نينيهي;;أخرى;https://t.me/the_;;;theco@gmail.com;571106935;Active;10;8
laweda;لاويدا;;الحرف والصناعات اليدوية;https://salla.sa/lawedastore;;;laweda.store@gmail.com;539298975;Active;0;0
